Overall Qual,Gr Liv Area,Total Bsmt SF,1st Flr SF,Garage Cars,Garage Area,Year Built,Full Bath,Bedroom AbvGr,SalePrice
8,1324,1324.0,1324,2.0,550.0,2006,2,2,254000
7,1405,1405.0,1405,2.0,478.0,2003,2,2,173000
7,1626,764.0,764,2.0,474.0,2003,2,2,173000
7,1456,728.0,728,2.0,390.0,2005,2,3,184000
6,1490,745.0,745,2.0,392.0,2005,2,3,167800
6,1484,742.0,742,2.0,390.0,2005,2,3,174000
6,1560,684.0,684,2.0,400.0,2005,2,3,174000
7,1555,1373.0,1555,3.0,660.0,2007,2,2,174000
7,1569,1386.0,1569,3.0,660.0,2007,2,1,175900
7,1555,1373.0,1555,2.0,430.0,2005,2,2,192500
7,1504,1346.0,1504,2.0,457.0,2005,2,1,181000
7,1220,1220.0,1220,2.0,397.0,2005,2,2,180000
7,1145,1145.0,1145,2.0,397.0,2005,2,2,160200
7,1432,716.0,716,2.0,432.0,2004,2,3,188500
6,2267,1010.0,1010,2.0,390.0,2002,2,4,200000
7,1374,384.0,744,2.0,400.0,2004,2,3,170000
7,1630,868.0,868,2.0,436.0,2004,2,3,189500
8,1419,408.0,779,2.0,527.0,2002,2,3,184100
7,1594,846.0,846,2.0,434.0,2004,2,3,195500
7,1489,782.0,806,2.0,400.0,2003,2,3,192000
7,1342,698.0,698,2.0,393.0,2003,2,3,178000
7,1314,1314.0,1314,2.0,626.0,2007,2,2,207500
7,2256,952.0,980,2.0,554.0,2000,2,4,236000
8,2004,870.0,878,3.0,644.0,2002,2,4,257500
6,2054,992.0,1022,2.0,390.0,2000,2,3,244000
7,1374,384.0,744,2.0,400.0,2004,2,3,167000
6,1800,982.0,1007,2.0,463.0,2000,2,3,179000
6,1514,794.0,819,2.0,394.0,2000,2,3,190000
7,1430,384.0,774,2.0,400.0,1999,2,3,156000
7,2312,1177.0,1223,3.0,658.0,1999,2,4,245000
6,1675,841.0,892,2.0,502.0,1999,2,3,181000
7,2060,992.0,1022,2.0,390.0,1999,2,3,214000
7,1430,384.0,774,2.0,410.0,1999,2,3,168000
8,2365,1252.0,1268,3.0,856.0,1999,2,3,337000
8,2794,1462.0,1490,3.0,810.0,1995,2,4,403000
8,2687,1455.0,1466,3.0,810.0,2000,2,4,327000
8,2450,1284.0,1310,3.0,1069.0,1998,2,3,340000
8,2612,1225.0,1276,3.0,676.0,1998,2,4,336000
7,2344,1264.0,1277,3.0,889.0,1996,2,3,265000
8,2063,2024.0,2063,3.0,815.0,1994,2,3,315000
7,2646,1347.0,1372,3.0,656.0,1993,2,4,260000
7,2061,1070.0,1094,2.0,647.0,1995,2,3,260000
8,2232,1173.0,1215,2.0,623.0,1993,2,3,263550
8,2448,1629.0,1686,3.0,711.0,1994,2,4,402000
7,1850,973.0,979,2.0,467.0,1994,2,3,248000
8,1468,1468.0,1468,3.0,898.0,2008,2,3,244600
8,1696,1696.0,1696,3.0,972.0,2008,2,3,275000
8,1658,1614.0,1658,3.0,726.0,2008,2,3,257500
8,1578,1573.0,1578,3.0,840.0,2008,2,3,287090
8,1702,1702.0,1702,3.0,844.0,2007,2,3,275500
8,1432,1422.0,1432,2.0,492.0,2006,2,3,245000
7,1971,1113.0,1113,2.0,689.0,2005,2,3,253000
9,2490,2458.0,2490,3.0,795.0,2005,2,2,468000
7,1852,900.0,932,2.0,644.0,2009,2,3,252678
8,1590,768.0,786,2.0,676.0,2008,2,3,210000
6,1218,1218.0,1218,2.0,676.0,2009,2,2,208300
7,1436,1436.0,1436,2.0,529.0,2008,2,3,225000
8,1314,1300.0,1314,2.0,552.0,2009,2,3,229456
7,1402,1402.0,1402,2.0,625.0,2008,2,3,229800
9,1530,1530.0,1530,3.0,984.0,2007,2,3,250000
9,1766,1766.0,1766,3.0,478.0,2009,2,2,370878
8,1448,1372.0,1448,2.0,692.0,2006,2,2,238500
10,2007,1017.0,1026,3.0,812.0,2008,2,3,310000
8,1795,900.0,909,3.0,782.0,2006,2,3,270000
8,1953,1082.0,1082,3.0,1043.0,2005,2,3,252000
7,1550,1092.0,1112,2.0,438.0,2006,2,2,241000
8,1836,1836.0,1836,2.0,517.0,2008,2,3,264500
7,1662,1652.0,1662,3.0,711.0,2006,2,3,291000
7,2094,912.0,912,2.0,615.0,2003,2,4,263000
7,1221,1221.0,1221,2.0,400.0,2004,2,2,185000
7,1553,1553.0,1553,2.0,588.0,2003,2,3,234500
7,1653,812.0,812,2.0,628.0,2003,2,3,209000
7,1218,1218.0,1218,2.0,576.0,2007,1,3,159000
7,1141,1141.0,1141,2.0,484.0,2006,1,3,152000
6,1158,1158.0,1158,0.0,0.0,2004,1,3,143500
7,1812,835.0,871,2.0,478.0,2004,2,3,193000
8,1512,1512.0,1512,3.0,845.0,2004,2,3,203000
7,1200,1176.0,1200,2.0,555.0,2003,2,2,184900
7,1114,1114.0,1114,2.0,576.0,2004,1,3,159000
5,1114,1114.0,1114,0.0,0.0,2004,1,3,142000
5,1114,1114.0,1114,2.0,576.0,2003,2,3,153000
7,1450,1450.0,1450,3.0,788.0,2008,2,2,224243
7,2122,913.0,913,2.0,559.0,1996,2,4,220000
8,1844,1844.0,1844,2.0,620.0,2005,2,2,257000
7,1434,1454.0,1434,2.0,527.0,2001,2,3,189000
6,1730,816.0,833,2.0,528.0,1992,2,3,171500
6,1217,626.0,626,1.0,288.0,1980,1,3,120000
6,1332,1332.0,1332,2.0,542.0,1990,2,2,145000
7,1540,754.0,754,2.0,495.0,1994,2,3,184000
6,1400,676.0,698,2.0,465.0,1986,2,3,162000
6,1882,0.0,964,2.0,612.0,1981,2,4,160000
4,841,721.0,841,1.0,294.0,1950,1,2,82000
6,784,784.0,784,2.0,360.0,1928,1,2,76000
5,980,980.0,980,2.0,400.0,1962,1,3,110000
5,980,980.0,980,2.0,484.0,1977,1,3,135000
5,864,864.0,864,2.0,732.0,1961,1,3,141000
5,864,864.0,864,1.0,440.0,1961,1,2,122000
5,1020,1024.0,1020,1.0,288.0,1965,2,3,124100
5,912,912.0,912,1.0,300.0,1963,1,3,129000
5,1144,864.0,1144,1.0,264.0,1961,1,3,131400
5,864,864.0,864,1.0,360.0,1965,1,3,62383
5,912,912.0,912,1.0,252.0,1962,1,3,123000
8,2014,2014.0,2014,3.0,864.0,1980,2,2,275000
7,1755,975.0,975,2.0,524.0,1991,2,3,235000
7,3005,1376.0,1376,3.0,704.0,2004,2,3,280750
6,1224,612.0,612,2.0,528.0,2009,2,2,164500
6,1224,612.0,612,2.0,528.0,2009,2,2,173733
6,1726,1726.0,1726,2.0,561.0,2008,2,2,222000
6,1256,1145.0,1256,2.0,641.0,2008,1,1,195000
6,1471,729.0,742,2.0,440.0,1999,2,3,172500
6,1512,756.0,756,2.0,440.0,2000,2,2,180000
7,1452,691.0,713,2.0,506.0,1999,2,3,156000
8,1739,970.0,983,2.0,480.0,1999,2,3,172500
8,1694,1694.0,1694,2.0,642.0,1977,2,2,318750
8,1226,1226.0,1226,2.0,484.0,1981,1,1,211500
7,1740,1740.0,1740,2.0,540.0,1981,1,2,241600
8,2499,392.0,1487,2.0,527.0,1976,2,4,180500
4,1620,1281.0,1620,2.0,490.0,1976,2,3,150000
6,1556,727.0,829,2.0,441.0,1968,1,4,154000
6,1442,1442.0,1442,2.0,615.0,1970,2,2,185000
6,1489,1489.0,1489,2.0,462.0,1968,2,3,185750
7,2090,1107.0,1107,2.0,484.0,1973,2,3,200000
7,2067,752.0,1285,2.0,784.0,1974,2,3,206000
6,1395,723.0,735,2.0,497.0,1972,1,3,162000
6,2640,932.0,1271,2.0,515.0,1967,2,5,256900
6,1724,1680.0,1724,2.0,480.0,1967,1,3,197900
5,1336,1288.0,1336,2.0,502.0,1969,2,3,163000
6,1216,1216.0,1216,1.0,336.0,1969,1,3,113000
7,2288,908.0,1316,2.0,520.0,1977,1,4,230000
6,1334,1350.0,1334,2.0,630.0,1977,2,2,167900
7,1680,1650.0,1680,2.0,583.0,1998,2,3,213250
8,1665,810.0,810,2.0,528.0,2001,2,3,227000
5,864,864.0,864,1.0,312.0,1967,1,2,130000
5,1568,1568.0,1568,2.0,440.0,1967,1,3,143000
5,925,925.0,925,1.0,429.0,1965,1,2,117500
7,2061,1165.0,1165,2.0,498.0,1974,2,4,168500
6,1320,1232.0,1320,2.0,495.0,1971,2,3,172500
6,1342,1372.0,1342,2.0,457.0,1967,2,3,161500
4,894,894.0,894,2.0,396.0,1960,1,2,141500
5,864,864.0,864,1.0,308.0,1959,1,3,118000
6,864,864.0,864,1.0,300.0,1959,1,2,127500
4,1362,1040.0,1362,3.0,768.0,1957,1,3,140000
5,1728,1048.0,1728,2.0,576.0,1956,2,3,177625
5,1776,1584.0,1776,3.0,888.0,1958,2,4,110000
6,1516,1516.0,1516,2.0,472.0,1964,1,3,167000
5,1313,1313.0,1313,2.0,610.0,1961,1,3,153000
5,1292,1292.0,1292,2.0,520.0,1964,1,3,145100
5,1154,1154.0,1154,2.0,480.0,1966,1,3,154000
5,2140,744.0,825,2.0,549.0,1965,2,4,177500
6,1445,1127.0,1445,2.0,645.0,1964,1,3,158000
5,1041,1041.0,1041,1.0,270.0,1959,1,3,124500
6,1576,1208.0,1576,2.0,368.0,1961,1,4,174500
5,960,960.0,960,1.0,330.0,1955,1,2,122000
4,708,420.0,708,0.0,0.0,1940,1,2,82500
5,1203,709.0,979,1.0,352.0,1950,1,3,110000
6,1505,1505.0,1505,2.0,505.0,1953,1,2,149500
6,1691,1680.0,1691,2.0,550.0,1967,1,2,175000
6,1644,1416.0,1644,2.0,418.0,1953,1,3,167000
5,1050,1050.0,1050,1.0,338.0,1956,1,2,128900
6,1668,856.0,1112,1.0,271.0,1950,1,3,140000
5,1113,1113.0,1113,1.0,264.0,1950,1,3,147000
5,1584,1584.0,1584,3.0,792.0,1967,2,4,124000
6,1453,1453.0,1453,2.0,530.0,1961,2,3,187500
6,1394,1394.0,1394,2.0,514.0,1963,1,3,159000
6,1567,1562.0,1567,2.0,542.0,1966,2,2,256000
7,1986,768.0,1186,2.0,486.0,1965,2,3,205000
6,2142,896.0,1182,1.0,509.0,1968,2,4,193500
6,1392,1392.0,1392,2.0,576.0,1968,1,2,110000
4,1738,715.0,1281,1.0,368.0,1920,2,4,104900
5,1144,1169.0,1144,1.0,286.0,1956,1,3,150000
6,1478,1478.0,1478,2.0,442.0,1957,1,3,156500
7,1329,1329.0,1329,2.0,441.0,1960,1,3,176000
6,988,988.0,988,1.0,297.0,1959,2,3,149500
6,1632,1240.0,1632,1.0,338.0,1958,2,3,139000
6,1215,1215.0,1215,1.0,297.0,1958,1,3,155000
5,1202,1202.0,1202,1.0,304.0,1956,1,3,120000
5,1382,1382.0,1382,1.0,350.0,1955,1,3,153000
4,1200,1200.0,1200,1.0,294.0,1956,1,3,144000
6,1382,1362.0,1382,2.0,884.0,1962,1,3,176000
5,1297,1297.0,1297,2.0,498.0,1954,1,3,153000
5,1866,1866.0,1866,2.0,495.0,1958,2,4,135000
6,1062,1062.0,1062,1.0,297.0,1954,1,3,131000
5,1319,608.0,1319,1.0,270.0,1953,1,3,123000
5,1112,631.0,1112,2.0,480.0,1951,1,2,126000
4,1005,1005.0,1005,2.0,672.0,1955,1,2,115000
5,1363,1008.0,1363,1.0,288.0,1951,1,2,164900
5,793,793.0,793,1.0,240.0,1945,1,2,113000
5,1031,1031.0,1031,1.0,230.0,1952,1,2,145500
5,1210,0.0,1210,1.0,616.0,1953,1,2,102900
3,1699,978.0,1014,2.0,420.0,1900,2,3,95000
7,1527,699.0,801,2.0,410.0,1948,1,3,152500
5,1200,1200.0,1200,1.0,246.0,1950,1,3,129900
6,972,972.0,972,1.0,240.0,1948,1,2,132000
3,792,792.0,792,1.0,366.0,1958,1,2,99900
5,1656,660.0,808,1.0,180.0,1916,2,3,135000
5,1352,676.0,676,2.0,720.0,1939,2,4,149000
4,1039,405.0,717,1.0,281.0,1900,1,2,114000
5,792,768.0,792,1.0,240.0,1924,1,2,109500
5,1078,1054.0,1078,1.0,264.0,1925,1,3,125000
4,2377,1313.0,1313,2.0,528.0,1915,2,3,142900
7,1690,560.0,930,2.0,624.0,1910,2,4,156500
2,599,416.0,599,0.0,0.0,1940,1,2,59000
4,1374,840.0,840,1.0,338.0,1920,1,2,105000
5,846,720.0,846,2.0,576.0,1920,1,2,106000
3,725,630.0,725,1.0,320.0,1890,1,1,78500
6,2544,1248.0,1248,3.0,907.0,1969,2,6,190000
6,1380,1380.0,1380,1.0,364.0,1963,1,3,154000
6,1040,1040.0,1040,2.0,480.0,1967,1,3,163000
5,2634,1248.0,1338,4.0,968.0,1969,2,6,200000
6,951,951.0,951,2.0,480.0,1958,1,2,143500
6,1105,1105.0,1105,1.0,308.0,1957,1,3,135000
5,1306,992.0,1306,1.0,756.0,1957,1,2,153000
6,1478,1478.0,1478,2.0,498.0,1960,2,3,157500
6,1142,160.0,1142,1.0,384.0,1958,1,2,113500
5,1268,832.0,1036,1.0,288.0,1949,1,3,133000
3,1040,0.0,1040,2.0,400.0,1950,2,2,92900
6,1133,795.0,765,2.0,900.0,1950,1,3,128500
4,1040,0.0,1040,2.0,420.0,1949,2,2,90000
5,1904,1208.0,1136,1.0,240.0,1950,1,3,138000
5,1041,1041.0,1041,1.0,294.0,1958,1,3,128000
5,1339,1029.0,1339,1.0,294.0,1958,1,3,139000
5,732,732.0,732,1.0,240.0,1952,1,2,118900
5,1183,528.0,1183,1.0,288.0,1959,1,3,138000
5,1148,1148.0,1148,1.0,672.0,1959,1,3,132500
4,1461,832.0,832,1.0,384.0,1949,2,4,133500
6,1495,864.0,1064,2.0,576.0,1948,1,3,135000
6,1806,780.0,993,2.0,483.0,1964,1,4,144750
5,941,941.0,941,2.0,564.0,1978,1,2,145000
6,1045,1045.0,1045,1.0,264.0,1963,1,3,127000
5,894,894.0,894,1.0,308.0,1962,1,2,109500
6,1224,818.0,818,1.0,210.0,1926,1,3,115000
5,1230,440.0,682,2.0,440.0,1910,1,2,110000
6,1378,901.0,861,1.0,162.0,1935,1,3,128900
6,1944,972.0,972,2.0,324.0,1910,2,4,103500
5,1131,676.0,676,1.0,200.0,1941,1,3,66500
5,1306,240.0,810,2.0,472.0,1910,1,3,130000
5,1464,504.0,764,0.0,0.0,1910,2,3,129000
5,1558,690.0,868,2.0,400.0,1939,1,3,150000
5,2372,994.0,1378,1.0,432.0,1892,2,4,107500
4,1701,600.0,1101,0.0,0.0,1920,2,4,94550
5,1960,960.0,960,2.0,400.0,1952,2,4,124500
7,1389,651.0,707,1.0,240.0,1946,1,3,135000
5,1447,801.0,801,0.0,0.0,1910,1,3,103000
4,936,936.0,936,2.0,576.0,1953,1,2,93000
5,1328,768.0,768,1.0,308.0,1950,1,3,129500
5,1387,811.0,811,1.0,256.0,1954,2,3,93000
4,861,861.0,861,2.0,288.0,1920,1,2,80000
2,612,0.0,612,1.0,308.0,1940,1,1,45000
3,968,600.0,600,0.0,0.0,1910,1,2,37900
5,886,190.0,886,1.0,273.0,1938,1,2,91300
5,792,624.0,792,1.0,287.0,1923,1,2,99500
4,1452,736.0,736,0.0,0.0,1920,2,2,113000
4,1510,677.0,833,2.0,720.0,1910,2,3,87500
5,1284,720.0,720,1.0,240.0,1947,1,2,110000
5,2138,849.0,1075,2.0,360.0,1898,2,2,106000
7,2640,1240.0,1320,4.0,864.0,1880,1,4,265979
6,2007,917.0,1090,1.0,357.0,1900,2,3,160000
6,1288,624.0,664,1.0,280.0,1917,1,3,119000
8,1742,916.0,916,2.0,424.0,1882,1,4,168000
4,816,624.0,816,0.0,0.0,1910,1,2,58500
7,1482,650.0,832,2.0,324.0,1920,1,3,143000
5,1022,1022.0,1022,1.0,280.0,1910,1,2,85000
5,1869,1088.0,1188,2.0,456.0,1890,1,2,124900
6,1480,972.0,1044,1.0,207.0,1920,1,3,119000
6,1521,741.0,780,3.0,640.0,1910,1,4,146500
4,720,720.0,720,0.0,0.0,1920,1,2,34900
3,797,245.0,797,0.0,0.0,1900,1,2,44000
5,1576,1324.0,1072,2.0,528.0,1923,1,3,223500
6,1432,1022.0,1432,1.0,216.0,1923,1,3,149000
7,1548,952.0,952,2.0,672.0,1925,2,3,205000
5,1654,297.0,1001,1.0,336.0,1930,2,3,137000
6,952,952.0,952,1.0,192.0,1916,1,2,121000
4,1324,672.0,757,1.0,240.0,1936,1,3,128000
6,1176,698.0,786,2.0,624.0,1937,1,2,134900
5,1348,884.0,884,1.0,216.0,1925,1,3,117000
6,1412,780.0,825,1.0,280.0,1939,1,4,132500
5,1142,468.0,822,1.0,320.0,1924,1,3,93000
6,904,884.0,904,1.0,180.0,1926,1,2,119000
5,1301,1145.0,1301,2.0,440.0,1924,1,2,100000
5,1539,927.0,1067,2.0,576.0,1936,1,3,141500
4,1573,884.0,989,1.0,240.0,1935,1,3,133000
2,800,264.0,800,0.0,0.0,1936,1,1,60000
5,875,715.0,875,1.0,180.0,1931,1,2,105000
5,995,960.0,995,1.0,264.0,1925,1,2,115000
5,1582,952.0,994,1.0,250.0,1938,2,3,150000
5,1072,1072.0,1072,5.0,1184.0,1925,1,2,126500
6,2134,844.0,1445,2.0,441.0,1916,2,5,214500
7,2019,728.0,1136,2.0,532.0,1910,1,3,167500
6,1768,1048.0,1048,2.0,576.0,1915,2,3,155000
7,1826,910.0,916,1.0,164.0,1915,1,4,155000
7,1944,672.0,1272,1.0,216.0,1915,2,3,179900
6,2229,755.0,929,0.0,0.0,1912,1,5,104000
5,2128,1040.0,1088,0.0,0.0,1922,2,4,62500
6,1930,720.0,1146,1.0,316.0,1927,2,4,149000
4,1208,780.0,848,2.0,539.0,1925,1,2,103000
6,1427,483.0,741,1.0,379.0,1915,1,3,123000
7,1864,1020.0,978,0.0,0.0,1902,2,6,97500
6,1666,1204.0,1204,1.0,384.0,1927,1,3,135000
4,892,858.0,892,0.0,0.0,1923,1,1,70000
6,1403,698.0,754,1.0,308.0,1915,1,3,116000
4,704,560.0,704,1.0,220.0,1946,1,2,88750
5,1200,1200.0,1200,0.0,0.0,1987,3,3,179000
5,1200,1200.0,1200,0.0,0.0,1987,3,3,179000
5,1152,1152.0,1152,1.0,252.0,1978,2,2,159900
1,904,683.0,904,0.0,0.0,1922,0,1,61000
6,1369,672.0,697,1.0,300.0,1925,2,3,103600
5,1112,585.0,687,1.0,226.0,1934,2,4,63000
5,1464,520.0,1464,2.0,480.0,1963,2,3,175000
5,1121,1121.0,1121,2.0,480.0,1963,1,3,139000
6,1683,918.0,918,2.0,440.0,1978,2,3,172500
5,1052,1052.0,1052,1.0,668.0,1967,1,3,113500
5,899,864.0,899,1.0,288.0,1967,1,3,130000
6,1034,456.0,1034,2.0,504.0,1978,1,3,149900
5,858,858.0,858,2.0,576.0,1982,1,2,134900
5,860,840.0,860,2.0,528.0,1982,1,2,137000
5,1092,1092.0,1092,1.0,288.0,1962,1,3,139000
5,1774,552.0,904,1.0,384.0,1961,2,4,165000
6,1138,1138.0,1138,2.0,480.0,1960,1,3,148000
5,2071,825.0,2071,1.0,336.0,1956,1,4,165000
2,660,0.0,660,0.0,0.0,1947,1,2,63900
4,1788,1104.0,1104,1.0,304.0,1957,1,5,161500
5,1473,1437.0,1473,1.0,452.0,1968,1,1,143000
4,1229,1134.0,1229,1.0,284.0,1956,1,3,135000
4,861,861.0,861,2.0,539.0,1940,1,1,82500
5,1867,1617.0,1867,1.0,303.0,1955,1,2,190000
3,1733,0.0,1733,2.0,452.0,1955,2,4,139600
4,1383,0.0,1383,2.0,498.0,1954,1,2,122000
6,1689,1436.0,1689,2.0,480.0,1956,1,3,127500
5,1073,1073.0,1073,1.0,340.0,1956,1,2,121500
5,1276,1276.0,1276,1.0,350.0,1958,1,3,60000
6,1639,747.0,892,1.0,240.0,1946,1,3,154400
4,672,672.0,672,1.0,234.0,1941,1,2,113000
5,1089,1089.0,1089,1.0,252.0,1954,1,3,125000
4,845,0.0,845,1.0,290.0,1957,1,3,84000
5,1049,1049.0,1049,1.0,266.0,1984,2,2,139500
5,1716,768.0,1148,1.0,281.0,1949,1,3,131000
6,1258,560.0,698,1.0,280.0,1939,1,2,105000
4,1510,755.0,755,1.0,296.0,1940,1,4,108000
7,1061,1054.0,1061,2.0,462.0,1990,1,1,162000
6,1338,520.0,1338,2.0,576.0,1983,1,2,156500
8,2132,1496.0,1496,2.0,612.0,1983,1,1,316600
7,2196,2158.0,2196,3.0,701.0,1990,2,3,271900
7,1775,740.0,1006,2.0,425.0,1993,2,3,213000
7,1879,1079.0,1079,2.0,473.0,1993,2,3,239900
8,2020,1128.0,1142,2.0,466.0,1995,2,3,239500
5,2016,0.0,1288,2.0,576.0,1880,1,4,131000
5,1535,0.0,1535,2.0,410.0,1979,2,4,118964
5,1224,1086.0,1224,2.0,528.0,1979,0,2,153337
5,2228,0.0,1114,2.0,720.0,1979,2,6,147983
5,1535,0.0,1535,2.0,400.0,1979,2,4,118858
5,1535,0.0,1535,2.0,400.0,1979,2,4,118858
5,2240,0.0,1120,2.0,528.0,1979,2,6,142953
5,1229,1094.0,1229,2.0,672.0,1979,0,2,148325
5,1513,0.0,1513,2.0,400.0,1979,2,4,113722
7,2787,1168.0,1168,4.0,820.0,2000,4,6,269500
7,2787,1168.0,1168,4.0,820.0,2000,4,6,269500
7,2787,1168.0,1168,4.0,820.0,2000,4,6,269500
9,1680,1555.0,1680,3.0,1138.0,2009,1,1,323262
8,1718,1705.0,1718,3.0,826.0,2007,2,3,297000
8,1630,1622.0,1630,3.0,860.0,2008,2,3,295493
9,1720,1720.0,1720,3.0,846.0,2008,2,3,332000
8,1468,1468.0,1468,3.0,904.0,2008,2,3,239900
8,1768,866.0,866,2.0,578.0,2007,2,3,212000
8,1838,1838.0,1838,2.0,524.0,2007,2,3,272500
9,1800,1800.0,1800,2.0,702.0,2007,2,2,239000
7,1604,1604.0,1604,2.0,660.0,2006,2,3,220000
7,1290,1282.0,1290,2.0,662.0,2007,2,2,200000
8,1254,1254.0,1254,3.0,810.0,2008,2,2,221800
7,1232,1232.0,1232,2.0,632.0,2007,2,2,194500
8,1498,1498.0,1498,3.0,844.0,2005,2,3,237000
6,1422,704.0,704,2.0,440.0,2005,2,3,173000
7,1644,1518.0,1644,2.0,569.0,1989,2,2,275000
7,1759,1449.0,944,2.0,525.0,1992,2,3,233500
5,2126,1013.0,1160,2.0,538.0,1967,2,3,185000
5,1040,1040.0,1040,2.0,576.0,1996,1,3,152000
5,990,990.0,990,1.0,440.0,1994,1,3,143000
6,1764,928.0,928,2.0,470.0,1997,2,3,231500
7,1661,799.0,827,2.0,550.0,1996,2,3,212000
7,1463,1463.0,1463,2.0,539.0,1998,2,3,207000
5,1097,1097.0,1097,2.0,672.0,1994,1,3,145000
5,990,990.0,990,2.0,480.0,1994,1,3,138000
7,1779,866.0,866,2.0,546.0,1998,2,3,197900
7,1501,1490.0,1501,2.0,577.0,1999,2,3,204000
7,1431,1431.0,1431,2.0,666.0,1999,2,3,192000
6,1772,928.0,928,2.0,492.0,1998,2,3,200000
7,1660,831.0,831,2.0,493.0,2002,2,3,195000
7,1573,1573.0,1573,2.0,544.0,2002,2,3,227000
7,1840,944.0,944,2.0,622.0,2001,2,3,230000
7,1430,1413.0,1430,2.0,605.0,2001,2,3,187100
7,1444,1431.0,1444,2.0,577.0,2002,2,3,203000
7,1492,1492.0,1492,2.0,608.0,2001,2,3,201000
5,1040,1040.0,1040,0.0,0.0,1978,2,3,124000
5,907,907.0,907,1.0,343.0,1978,1,3,140000
5,914,914.0,914,2.0,444.0,1979,1,2,134900
5,1040,1040.0,1040,2.0,484.0,1977,2,3,150500
5,864,864.0,864,1.0,336.0,1978,1,3,136500
5,1268,1268.0,1268,1.0,252.0,1977,1,3,143500
5,864,864.0,864,1.0,338.0,1972,1,3,133500
5,894,894.0,894,2.0,600.0,1972,1,2,123000
5,768,768.0,768,1.0,396.0,1972,1,2,133900
5,768,768.0,768,2.0,396.0,1972,1,2,133000
7,1611,1569.0,1611,3.0,1231.0,2002,2,3,250000
8,2184,1068.0,1068,2.0,570.0,2003,2,4,254750
8,1788,1753.0,1788,2.0,522.0,2001,2,3,236500
8,1872,1299.0,1299,2.0,531.0,2001,2,3,261500
9,2153,1440.0,1476,3.0,736.0,2000,2,3,313000
7,1725,840.0,840,2.0,550.0,2002,2,3,198500
7,1870,944.0,944,2.0,608.0,2001,2,3,211000
8,1513,1462.0,1513,2.0,521.0,1999,2,2,220000
7,1504,1504.0,1504,2.0,478.0,1996,2,3,203000
8,1828,1822.0,1828,2.0,523.0,2002,2,3,279500
7,1417,1417.0,1417,2.0,511.0,1997,2,3,210000
7,2034,1057.0,1057,2.0,645.0,1997,2,3,219500
7,1716,880.0,909,2.0,512.0,1996,2,2,191000
7,1212,1212.0,1212,2.0,573.0,2001,2,3,178000
7,1630,1630.0,1630,2.0,451.0,2000,2,3,213000
6,848,848.0,848,2.0,420.0,2003,1,1,144000
6,848,848.0,848,2.0,420.0,2003,1,1,140000
8,1602,1578.0,1602,3.0,810.0,2007,2,3,293200
7,1728,864.0,864,2.0,572.0,2004,2,3,190000
7,1500,1500.0,1500,2.0,570.0,2004,2,3,190000
6,1476,738.0,738,2.0,540.0,2005,2,3,173500
6,1396,608.0,608,2.0,440.0,2007,2,3,170000
4,1126,0.0,1126,2.0,520.0,1949,2,2,108000
5,1486,1486.0,1486,2.0,480.0,1964,1,3,167000
4,816,816.0,816,1.0,288.0,1938,1,2,100000
7,1922,0.0,495,2.0,672.0,2003,3,4,198500
6,1426,690.0,698,2.0,440.0,1977,1,3,159500
4,1149,1014.0,1149,1.0,544.0,1960,1,3,127000
6,1125,1041.0,1125,1.0,352.0,1976,1,3,125000
9,1698,1698.0,1698,3.0,768.0,2007,2,3,320000
6,1072,547.0,1072,2.0,525.0,2005,1,2,145500
5,698,698.0,698,0.0,0.0,1947,1,2,118000
4,876,876.0,876,1.0,320.0,1959,1,3,85000
5,1368,1078.0,1368,1.0,195.0,1950,1,3,120000
4,1529,0.0,1088,1.0,240.0,1945,2,4,98000
5,864,864.0,864,0.0,0.0,1922,1,2,99900
3,944,0.0,944,2.0,528.0,1952,1,2,82000
5,1678,1678.0,1678,0.0,0.0,1959,2,6,119900
5,1560,1150.0,1560,1.0,313.0,1956,1,2,103500
4,960,672.0,960,1.0,288.0,1956,1,3,112000
6,1196,684.0,684,2.0,528.0,1920,1,3,110000
5,1298,720.0,854,1.0,256.0,1941,1,3,122000
5,1604,984.0,984,2.0,660.0,1941,2,3,117000
5,1268,832.0,832,1.0,250.0,1938,1,3,160000
5,1520,793.0,848,1.0,281.0,1932,1,3,159434
2,438,290.0,438,1.0,246.0,1920,1,1,60000
6,1489,778.0,944,1.0,240.0,1940,2,3,139500
7,3082,824.0,1687,2.0,672.0,1920,2,5,197000
6,1242,583.0,647,1.0,180.0,1935,1,3,105000
4,1981,1122.0,1328,2.0,576.0,1928,2,4,135000
6,1232,816.0,1232,2.0,440.0,1916,1,3,147500
6,1608,976.0,1160,1.0,216.0,1925,2,3,137450
7,1135,560.0,575,2.0,576.0,1936,1,3,155000
6,1913,896.0,1172,2.0,342.0,1928,1,3,177000
7,1477,861.0,877,1.0,216.0,1928,2,3,145000
7,1228,600.0,628,1.0,215.0,1918,1,3,137000
7,2080,1276.0,1276,1.0,282.0,1926,1,3,234000
5,1567,840.0,840,2.0,440.0,1940,1,2,205000
6,1494,771.0,753,1.0,213.0,1942,1,3,177500
5,1308,728.0,976,1.0,256.0,1940,1,2,160000
5,1273,1273.0,1273,1.0,307.0,1960,1,2,155000
5,964,876.0,964,2.0,432.0,1921,1,2,163500
5,1343,731.0,820,1.0,186.0,1921,1,3,154900
7,2480,920.0,1240,2.0,400.0,1940,2,5,205000
